STATE,LAST NAME INITIAL LETTER,COUNT,VALID
AL,ALL,515,true
AK,ALL,225,true
AB,ALL,0,true
AS,ALL,0,true
AZ,a,54,true
AZ,b,136,true
AZ,c,110,true
AZ,d,75,true
AZ,e,20,true
AZ,f,55,true
AZ,g,85,true
AZ,h,78,true
AZ,i,7,true
AZ,j,33,true
AZ,k,73,true
AZ,l,78,true
AZ,m,144,true
AZ,n,26,true
AZ,o,26,true
AZ,p,70,true
AZ,q,2,true
AZ,r,65,true
AZ,s,157,true
AZ,t,47,true
AZ,u,8,true
AZ,v,32,true
AZ,w,92,true
AZ,x,0,true
AZ,y,10,true
AZ,z,15,true
AR,ALL,230,true
AP,ALL,144,true
AA,ALL,63,true
AL,ALL,515,true
BC,ALL,0,true
CA,a,618,true
CA,ba,318,true
CA,bb,0,true
CA,bc,0,true
CA,bd,0,true
CA,be,231,true
CA,bf,0,true
CA,bg,0,true
CA,bh,18,true
CA,bi,50,true
CA,bj,1,true
CA,bk,0,true
CA,bl,87,true
CA,bm,0,true
CA,bn,0,true
CA,bo,178,true
CA,bp,0,true
CA,bq,0,true
CA,br,244,true
CA,bs,0,true
CA,bt,0,true
CA,bu,172,true
CA,bv,0,true
CA,bw,0,true
CA,bx,0,true
CA,by,5,true
CA,bz,0,true
CA,ca,326,true
CA,cb,0,true
CA,cc,0,true
CA,cd,0,true
CA,ce,22,true
CA,cf,0,true
CA,cg,0,true
CA,ch,408,true
CA,ci,23,true
CA,cj,0,true
CA,ck,0,true
CA,cl,71,true
CA,cm,0,true
CA,cn,0,true
CA,co,343,true
CA,cp,0,true
CA,cq,0,true
CA,cr,86,true
CA,cs,0,true
CA,ct,0,true
CA,cu,62,true
CA,cv,0,true
CA,cw,0,true
CA,cx,0,true
CA,cy,4,true
CA,cz,5,true
CA,d,855,true
CA,e,300,true
CA,f,585,true
CA,g,886,true
CA,ha,346,true
CA,hb,0,true
CA,hc,0,true
CA,hd,0,true
CA,he,207,true
CA,hf,0,true
CA,hg,0,true
CA,hh,0,true
CA,hi,77,true
CA,hj,0,true
CA,hk,0,true
CA,hl,1,true
CA,hm,0,true
CA,hn,0,true
CA,ho,253,true
CA,hp,0,true
CA,hq,0,true
CA,hr,3,true
CA,hs,17,true
CA,ht,0,true
CA,hu,129,true
CA,hv,0,true
CA,hw,7,true
CA,hx,0,true
CA,hy,12,true
CA,hz,0,true
CA,i,85,true
CA,j,347,true
CA,k,879,true
CA,l,919,true
CA,ma,493,true
CA,mb,0,true
CA,mc,297,true
CA,md,0,true
CA,me,144,true
CA,mf,0,true
CA,mg,0,true
CA,mh,0,true
CA,mi,183,true
CA,mj,0,true
CA,mk,0,true
CA,ml,1,true
CA,mm,0,true
CA,mn,0,true
CA,mo,242,true
CA,mp,0,true
CA,mq,0,true
CA,mr,2,true
CA,ms,0,true
CA,mt,0,true
CA,mu,123,true
CA,mv,0,true
CA,mw,1,true
CA,mx,0,true
CA,my,15,true
CA,mz,0,true
CA,n,379,true
CA,o,319,true
CA,p,787,true
CA,q,46,true
CA,r,847,true
CA,sa,222,true
CA,sb,0,true
CA,sc,225,true
CA,sd,0,true
CA,se,100,true
CA,sf,2,true
CA,sg,0,true
CA,sh,250,true
CA,si,134,true
CA,sj,0,true
CA,sk,15,true
CA,sl,24,true
CA,sm,97,true
CA,sn,30,true
CA,so,82,true
CA,sp,65,true
CA,sq,2,true
CA,sr,5,true
CA,ss,0,true
CA,st,255,true
CA,su,101,true
CA,sv,1,true
CA,sw,39,true
CA,sx,0,true
CA,sy,11,true
CA,sz,6,true
CA,t,595,true
CA,u,46,true
CA,v,240,true
CA,w,833,true
CA,x,14,true
CA,y,213,true
CA,z,165,true
CZ,ALL,0,true
CO,a,97,true
CO,b,232,true
CO,c,171,true
CO,d,101,true
CO,e,36,true
CO,f,75,true
CO,g,109,true
CO,h,178,true
CO,i,10,true
CO,j,48,true
CO,k,107,true
CO,l,120,true
CO,m,252,true
CO,n,36,true
CO,o,54,true
CO,p,118,true
CO,q,4,true
CO,r,114,true
CO,s,229,true
CO,t,66,true
CO,u,7,true
CO,v,36,true
CO,w,125,true
CO,x,3,true
CO,y,9,true
CO,z,20,true
CT,a,134,true
CT,b,318,true
CT,c,355,true
CT,d,282,true
CT,e,61,true
CT,f,221,true
CT,g,257,true
CT,h,231,true
CT,i,23,true
CT,j,82,true
CT,k,216,true
CT,l,244,true
CT,m,536,true
CT,n,94,true
CT,o,94,true
CT,p,180,true
CT,q,11,true
CT,r,248,true
CT,s,464,true
CT,t,124,true
CT,u,13,true
CT,v,62,true
CT,w,180,true
CT,x,1,true
CT,y,22,true
CT,z,47,true
DE,ALL,707,true
DC,a,767,true
DC,ba,335,true
DC,bb,0,true
DC,bc,0,true
DC,bd,0,true
